task,encoder,model,agg,train-AP,validation-AP,test-AP
frame,yamnet-swin,xgboost,abs_diff,0.792 ± 0.002,0.143 ± 0.008,0.175
frame,yamnet-swin,mlp,mean,0.809 ± 0.016,0.26 ± 0.024,0.307
frame,yamnet-swin,mlp,concat,0.815 ± 0.012,0.233 ± 0.027,0.297
frame,yamnet-swin,mlp,abs_diff,0.805 ± 0.012,0.151 ± 0.014,0.18
frame,yamnet-swin,mlp_small,mean,0.782 ± 0.021,0.256 ± 0.034,0.3
frame,yamnet-swin,mlp_small,concat,0.817 ± 0.014,0.239 ± 0.014,0.304
frame,yamnet-swin,mlp_small,abs_diff,0.794 ± 0.006,0.15 ± 0.017,0.2
frame,yamnet-swin,mlp_large,mean,0.81 ± 0.015,0.269 ± 0.024,0.336
frame,yamnet-swin,mlp_large,concat,0.813 ± 0.022,0.25 ± 0.013,0.301
frame,yamnet-swin,mlp_large,abs_diff,0.8 ± 0.015,0.15 ± 0.015,0.19
motion,clip,lr,mean,0.387 ± 0.014,0.102 ± 0.013,0.113
motion,clip,lr,concat,0.488 ± 0.01,0.114 ± 0.015,0.118
motion,clip,lr,abs_diff,0.302 ± 0.011,0.11 ± 0.006,0.123
motion,clip,xgboost,mean,0.817 ± 0.013,0.102 ± 0.006,0.125
motion,clip,xgboost,concat,0.816 ± 0.014,0.122 ± 0.01,0.125
motion,clip,xgboost,abs_diff,0.77 ± 0.018,0.113 ± 0.01,0.115
motion,clip,mlp,mean,0.789 ± 0.016,0.107 ± 0.007,0.106
motion,clip,mlp,concat,0.79 ± 0.014,0.13 ± 0.012,0.107
motion,clip,mlp,abs_diff,0.775 ± 0.012,0.115 ± 0.006,0.122
motion,clip,mlp_small,mean,0.777 ± 0.016,0.111 ± 0.008,0.109
motion,clip,mlp_small,concat,0.788 ± 0.011,0.115 ± 0.008,0.107
motion,clip,mlp_small,abs_diff,0.742 ± 0.012,0.115 ± 0.003,0.114
motion,clip,mlp_large,mean,0.801 ± 0.012,0.105 ± 0.008,0.104
motion,clip,mlp_large,concat,0.787 ± 0.021,0.131 ± 0.01,0.107
motion,clip,mlp_large,abs_diff,0.779 ± 0.015,0.112 ± 0.008,0.112
motion,efficientnetb7,lr,mean,0.634 ± 0.024,0.111 ± 0.01,0.114
motion,efficientnetb7,lr,concat,0.618 ± 0.023,0.109 ± 0.008,0.118
motion,efficientnetb7,lr,abs_diff,0.687 ± 0.024,0.105 ± 0.003,0.124
motion,efficientnetb7,xgboost,mean,0.816 ± 0.008,0.108 ± 0.006,0.121
